logcpi,logip,gs1,ebp,ff4_tc
502.6508,427.0672,5.64,-0.187211,0
502.782,426.6815,5.59,-0.346603,-0.1258065
502.9784,427.9903,5.75,-0.248873,-0.0241935
503.1091,428.3589,5.62,-0.207413,0.005
503.3701,428.1811,5.59,-0.178842,0.025
503.5003,428.4396,5.43,-0.095936,0
503.6303,428.8258,5.31,-0.087709,-0.0209677
504.1488,428.1644,5.09,-0.116741,-0.0296774
504.3425,429.747,4.94,-0.330019,-0.0193548
504.6646,429.5916,5.34,-0.340443,0.0019336
505.0497,430.4256,5.54,-0.294273,0.0080564
505.2417,431.1198,5.64,-0.327362,0
505.4333,432.0053,5.81,-0.303977,0
505.6246,431.873,5.85,-0.373247,-0.0280645
505.7519,432.5219,5.67,-0.436534,-0.0019355
506.0695,433.0516,5.83,-0.424425,-0.0303333
506.386,433.0558,5.55,-0.381406,-0.0996667
506.7016,433.8742,5.42,-0.349662,-0.006
506.9533,434.5137,5.47,-0.442943,-0.0088387
507.1417,434.627,5.61,-0.350262,-0.0051613
507.3297,435.8319,5.53,-0.485871,0
507.3923,436.5974,5.8,-0.512084,0.0090322
507.4549,436.6422,5.99,-0.438469,0.0309677
507.4549,437.3299,5.87,-0.436481,-0.0348387
507.6423,437.7813,5.69,-0.50729,-0.0551615
507.7671,438.3895,5.54,-0.525862,-0.0193548
508.0161,439.7059,5.56,-0.501028,0.0035484
508.2646,440.5731,5.52,-0.599141,0.0058064
508.4505,441.2547,5.46,-0.47386,0
508.5743,442.1395,5.46,-0.396917,0
508.6361,442.4941,5.53,-0.453156,-0.0051613
508.7596,442.9876,5.24,-0.374018,-0.0048387
508.7596,443.0764,5.31,-0.353293,0
508.7596,443.1419,5.39,-0.402522,0
508.883,443.5221,5.38,-0.476149,0
509.1293,444.1902,5.44,-0.435831,-0.0041935
509.2523,443.6049,5.41,-0.421874,-0.0058064
509.4977,443.179,5.36,-0.385605,0.00999
509.6201,445.2782,5.21,-0.040715,0.0045161
509.6813,444.9563,4.71,-0.103384,0.0101504
509.9257,445.7471,4.12,0.000441,-0.0717633
510.0476,445.6595,4.53,0.02907,-0.1129031
510.2303,446.0135,4.52,-0.106692,0
510.4126,446.4603,4.51,-0.124938,0
510.4126,446.893,4.7,-0.352341,0
510.4733,447.1072,4.78,-0.275318,-0.0012903
511.1385,447.338,4.69,-0.279516,-0.0187097
511.1988,448.078,4.85,-0.279658,0.0180645
511.1988,447.8864,5.1,-0.213867,0.0196021
511.6196,448.5621,5.03,-0.148228,-0.0676665
511.8593,448.9807,5.2,-0.147479,0.003871
512.2773,448.7011,5.25,-0.004159,0.0111289
512.4559,449.9721,5.43,-0.040454,0.0348387
512.6342,450.4709,5.55,-0.078502,0.0351663
512.8715,451.2643,5.84,-0.312901,0.0282309
513.1672,451.3419,6.12,-0.12087,-0.0032258
513.5798,451.7194,6.22,-0.10413,0.0048275
514.1664,452.1182,6.22,0.153359,-0.0033724
514.1078,452.7427,6.15,0.329846,-0.0064452
514.2833,452.8928,6.33,0.498835,0.0361292
514.8657,452.9504,6.17,0.54953,0.0323699
515.1556,452.7191,6.08,0.607972,-0.013509
515.1556,452.4523,6.18,0.76418,0.0016129
515.6754,452.9374,6.13,0.816644,0.0033872
515.848,452.4865,6.01,1.252061,0.023387
516.0204,452.4742,6.09,1.288705,0.0016129
516.2498,452.1549,5.6,1.360387,-0.0020967
516.8209,451.4333,4.81,0.9097,-0.1422579
517.0484,450.8291,4.68,0.935115,0.0193646
517.1052,450.5573,4.3,0.973143,-0.0290322
517.2754,450.2787,3.98,0.772219,-0.2063012
517.7843,449.5496,3.78,0.686657,-0.2864408
518.0096,448.879,3.58,0.976032,-0.0532258
517.8407,448.4373,3.62,0.563165,0.0650001
517.8407,448.1802,3.47,0.60858,-0.0070968
518.2345,447.8535,2.82,0.998345,-0.0129032
517.9534,447.3623,2.33,0.865248,-0.0387096
517.897,446.8214,2.18,-0.427836,-0.1179571
517.8407,446.8461,2.22,0.359763,-0.0436559
518.0096,447.4606,2.16,0.500767,-0.0083871
518.1783,447.4206,2.23,0.71221,0.0187097
518.4589,448.1587,2.57,0.266711,-0.0188708
518.9061,448.5763,2.48,0.385478,-0.026129
519.0175,449.091,2.35,0.414249,-0.016129
519.0732,450.0637,2.2,0.751762,-0.0055377
519.2957,449.7277,1.96,1.168366,-0.0083334
519.5731,449.8651,1.76,1.19177,-0.0245161
519.7391,449.9171,1.72,1.305279,-0.0166504
519.9601,449.5853,1.65,1.110808,-0.0038333
520.1255,450.1314,1.49,0.784568,-0.0708334
520.2907,449.6793,1.45,0.661981,-0.0070698
520.7298,450.3762,1.36,0.589204,0.0058064
521.2759,450.7451,1.3,0.394674,0.0270967
521.4392,450.5461,1.24,-0.153522,-0.0090322
521.0579,449.7249,1.27,-0.138374,-0.0109677
520.894,449.7112,1.18,-0.854259,-0.0335484
521.0032,449.7197,1.01,-0.561209,0.0145483
521.3304,450.0717,1.12,-1.32735,0.0840001
521.765,449.9524,1.31,-0.225067,0
522.0896,450.5585,1.24,-0.694795,0
521.9815,450.5222,1.25,-0.543412,-0.0012903
522.0356,451.2759,1.34,-0.540053,-0.0087097
522.3055,451.1935,1.31,-0.49322,0.0037096
522.7358,451.4847,1.24,-0.711418,0.0019355
522.9503,452.0488,1.24,-0.286728,0.004355
523.1643,451.5114,1.19,-0.533865,-0.0025806
523.3245,451.918,1.43,-0.740573,-0.0024195
523.7505,452.6421,1.78,-0.323436,-0.0045161
524.1218,451.8477,2.12,-0.333673,-0.0008171
524.2276,452.628,2.1,-0.306482,-0.0096667
524.2805,452.8055,2.02,-0.461368,0.0283799
524.5971,452.8458,2.12,-0.598777,0.0082767
525.1226,453.7961,2.23,-0.574809,-0.0066667
525.5931,453.9955,2.5,-0.701047,-0.0069931
525.5931,454.6688,2.67,-0.85373,-0.0059001
525.541,455.0793,2.86,-0.806862,-0.0020969
525.9576,455.7046,3.03,-1.09208,0
526.3208,455.6424,3.3,-0.730689,0.0032258
526.631,455.7303,3.32,-0.53511,0.0067742
526.5794,455.9126,3.33,-0.386019,0.0093548
526.631,456.3306,3.36,-0.564386,0.0011451
527.2487,456.1933,3.64,-0.653742,0.0145001
527.8625,456.3185,3.87,-0.721005,-0.0074193
529.2299,454.3458,3.85,-0.555723,0.0084193
529.3807,455.5812,4.18,-0.455134,0.0190001
528.8772,456.5519,4.33,-0.386568,0
528.8772,457.1202,4.35,-0.394374,-0.0030646
529.4811,457.2172,4.45,-0.457407,-0.0011289
529.5313,457.2976,4.68,-0.348597,0.0241935
529.6816,457.5475,4.77,-0.515825,0.003871
530.1812,457.9338,4.9,-0.529815,0.026129
530.4796,457.8226,5,-0.400727,0.0248387
530.7277,458.207,5.16,-0.449069,0.0084946
531.2713,458.2554,5.22,-0.378634,-0.0233333
531.7139,458.4621,5.08,-0.423245,-0.0270967
531.222,458.3303,4.97,-0.522988,-0.0079031
530.7772,458.2364,5.01,-0.540093,-0.0011292
530.8268,458.1201,5.01,-0.52448,-0.003871
531.3699,459.139,4.94,-0.661607,-0.0032258
531.5356,458.6607,5.06,-0.678331,-0.0019355
531.9227,459.7701,5.05,-0.735689,-0.0048387
532.4414,459.8443,4.92,-0.48584,-0.005326
532.741,460.5682,4.93,-0.485028,-0.0096838
533.1534,460.6279,4.91,-0.736344,0.0037096
533.3848,460.6328,4.96,-0.495324,0.0012903
533.5627,460.6604,4.96,-0.084556,0
533.5936,460.7866,4.47,0.082753,0
534.0164,461.2293,4.14,-0.001109,-0.0736668
534.3243,460.7391,4.1,-0.081753,-0.0953655
535.1071,461.3191,3.5,0.214839,0.0290322
535.3965,461.3337,3.26,0.385475,0.0203228
535.7407,461.0136,2.71,0.67884,-0.0390322
535.9822,460.8174,2.05,0.848258,-0.2062905
536.3393,460.5248,1.54,1.091471,0.0338709
536.5705,459.7413,1.74,0.59478,0.0386291
537.1605,459.2745,2.06,0.628826,-0.0725
538.2029,459.0705,2.42,0.704856,0.003
538.9145,458.6173,2.28,1.056176,0.0120001
538.7655,457.0016,2.18,1.150368,-0.026129
538.851,452.6987,1.91,1.494335,0.056129
537.9874,453.523,1.42,2.970945,0.0474272
536.201,452.3573,1.07,2.001412,-0.0474172
535.3743,449.4944,0.49,2.23929,-0.095489
535.636,447.2188,0.44,2.176283,-0.0895209
536.0461,446.576,0.62,2.601959,0
535.905,445.028,0.64,2.132363,-0.0045161
535.9681,444.1865,0.55,1.926129,-0.0051508
536.1283,443.1611,0.5,0.983595,0.0046668
536.9666,442.7922,0.51,0.632751,0
536.9335,443.6534,0.48,0.07803,0
537.2692,444.7011,0.46,-0.228104,-0.0032258
537.4723,445.3803,0.4,-0.144004,-0.0057743
537.7507,445.6938,0.37,-0.348584,-0.0109999
538.0657,446.1755,0.31,-0.151492,-0.008991
538.1578,446.6409,0.37,-0.569734,-0.0035796
538.2098,447.6927,0.35,-0.229574,-0.0024195
538.1537,448.0764,0.35,0.036577,0
538.1647,448.8305,0.4,-0.093996,-0.0051613
538.1191,449.1636,0.45,-0.227013,-0.0058386
538.0956,450.7286,0.37,-0.177303,-0.0090001
538.1412,450.9478,0.32,-0.040396,0
538.3072,451.531,0.29,0.16767,0
538.4587,451.7967,0.26,-0.489363,0
538.5957,452.0515,0.26,-0.085991,0.0016668
538.9053,451.7087,0.23,-0.035421,0.0033333
539.122,451.9781,0.25,-0.155059,0.0046666
539.5753,452.9611,0.29,-0.403172,0.0003333
539.8466,452.8384,0.27,0.081907,-0.0009677
540.2263,452.3687,0.29,-0.217003,-0.0040321
540.7647,453.3821,0.26,-0.250326,0
541.1106,452.8035,0.25,-0.216373,0
541.4976,453.1659,0.19,-0.084545,0
541.6412,453.3431,0.18,0.081981,-0.0015001
541.8737,453.9124,0.19,-0.020915,-0.0035
542.1362,454.4583,0.11,-0.250424,-0.0037096
542.3861,454.5649,0.1,0.289268,0.0053763
542.3751,455.1214,0.11,-0.306556,0.0133333
542.5166,455.3454,0.11,0.382049,0.0096667
542.5554,455.9377,0.12,0.10295,0.0003333
542.7612,456.6387,0.12,0.030121,0
543.0455,457.1274,0.16,-0.121284,0
543.3503,456.5798,0.19,-0.529989,0
543.3508,457.3238,0.18,-0.367213,0
543.2184,457.5785,0.19,-0.350847,0
543.339,457.6073,0.19,-0.067985,0.0036666
